,City,Country,Lat,Lng,Date,Max_Temp,Humidity,Cloudiness,Wind_Speed
0,cortez,US,37.35,-108.58,1564120795,70,68,1,10.13
1,avarua,CK,-21.21,-159.78,1564120795,71.6,83,100,3.36
2,ivanava,BY,52.14,25.53,1564120795,60.97,88,95,7.23
3,ahipara,NZ,-35.17,173.16,1564120796,55,100,79,10.6
4,lebu,ET,8.96,38.73,1564120796,57.2,93,75,6.93
5,faanui,PF,-16.48,-151.75,1564120796,79.32,77,0,15.41
6,hami,CN,42.84,93.51,1564120797,77.17,30,85,0.63
7,emba,CY,34.81,32.42,1564120797,82.99,69,0,5.82
8,bredasdorp,ZA,-34.53,20.04,1564120797,52,87,20,4.7
9,mataura,NZ,-46.19,168.86,1564120798,53.01,81,98,3.76
10,waipawa,NZ,-39.94,176.59,1564120798,50,86,69,3.11
11,acari,BR,-6.44,-36.64,1564120798,71.41,76,0,13.51
12,guerrero negro,MX,27.97,-114.04,1564120799,69.79,80,0,10.63
13,sola,TZ,-3.17,33.8,1564120799,70.87,38,0,8.01
14,taolanaro,,,,,,,,
15,bambous virieux,MU,-20.34,57.76,1564120800,75,88,75,16.11
16,port elizabeth,US,39.31,-74.98,1564120800,71.01,88,1,3.36
17,san antonio,CL,-33.58,-71.61,1564120800,37.4,100,0,2.24
18,bluff,AU,-23.58,149.07,1564120801,73.02,37,12,6.69
19,dire,ET,9.18,38.92,1564120801,57.2,93,75,6.93
20,severo-kurilsk,RU,50.68,156.12,1564120802,49.45,82,57,14.05
21,hervey bay,AU,-25.3,152.85,1564120802,75.2,38,73,8.05
22,gisborne,NZ,-38.66,178.02,1564120805,53.01,90,47,1.01
23,at-bashi,KG,41.17,75.81,1564120806,66,80,0,9.01
24,aklavik,CA,68.22,-135.01,1564120810,66.2,32,20,14.99
25,jamestown,AU,-33.21,138.6,1564120598,56.65,77,44,10.42
26,buala,SB,-8.15,159.59,1564120812,78.61,85,100,9.89
27,butaritari,KI,3.07,172.79,1564120812,84.72,70,82,11.32
28,harbour breton,CA,47.48,-55.8,1564120812,58.81,78,100,3.74
29,udachnyy,RU,66.42,112.4,1564120813,62.6,63,0,6.71
30,lyudinovo,RU,53.86,34.45,1564120813,61.15,96,100,7.14
31,acajutla,SV,13.59,-89.83,1564120815,80.95,80,97,10.85
32,attawapiskat,,,,,,,,
33,rio cuarto,AR,-33.13,-64.35,1564120816,40.09,48,42,4.16
34,ushuaia,AR,-54.81,-68.31,1564120816,41,80,40,4.7
35,coquimbo,CL,-29.95,-71.34,1564120816,46.4,70,0,9.17
36,kaitangata,NZ,-46.28,169.85,1564120817,48.99,76,99,1.01
37,mehamn,NO,71.03,27.85,1564120817,53.6,93,75,2.24
38,busselton,AU,-33.64,115.35,1564120817,55.99,77,100,13.56
39,cherskiy,RU,68.75,161.3,1564120818,60.07,42,69,11.45
40,los alamos,US,35.88,-106.3,1564120819,62.6,93,82,3.78
41,atuona,PF,-9.8,-139.03,1564120819,80.41,73,18,14.54
42,barcelos,BR,-0.97,-62.93,1564120820,72.12,92,14,1.36
43,ilhabela,BR,-23.78,-45.36,1564120820,69.79,85,74,4.99
44,cape town,ZA,-33.93,18.42,1564120659,53.01,93,24,3.36
45,bethel,US,60.79,-161.76,1564120821,55.4,87,90,11.41
46,walvis bay,NA,-22.95,14.51,1564120821,55.4,82,0,3.36
47,mys shmidta,,,,,,,,
48,illoqqortoormiut,,,,,,,,
49,castro,CL,-42.48,-73.76,1564120822,44.6,100,90,3.36
50,hobart,AU,-42.88,147.33,1564120628,54,62,20,11.41
51,penzance,GB,50.12,-5.53,1564120823,64.99,88,40,11.41
52,airai,TL,-8.93,125.41,1564120823,81.49,54,88,5.37
53,rikitea,PF,-23.12,-134.97,1564120823,73.57,79,0,8.5
54,tsihombe,,,,,,,,
55,banda aceh,ID,5.56,95.32,1564120824,83.47,70,42,6.38
56,saleaula,,,,,,,,
57,ukiah,US,39.15,-123.21,1564120825,73.99,57,94,1.95
58,qaanaaq,GL,77.48,-69.36,1564120825,43.69,49,38,4.41
59,abu samrah,SY,35.3,37.18,1564120825,83.29,36,0,7.45
60,waddan,LY,29.16,16.14,1564120826,76.81,50,0,4.14
61,passos,BR,-20.72,-46.61,1564120826,58.45,67,52,4.47
62,matagami,NG,9.67,8.4,1564120826,68.89,98,81,2.04
63,santa marta,CO,11.24,-74.21,1564120827,84.2,66,40,6.93
64,kano,NG,11.99,8.53,1564120827,77.35,68,98,6.42
65,albany,US,42.65,-73.75,1564120800,64,88,1,3.36
66,itarema,BR,-2.92,-39.92,1564120828,73.92,84,15,7.43
67,punta arenas,CL,-53.16,-70.91,1564120828,37.4,79,40,17.22
68,miri,NG,10.31,9.75,1564120829,70.87,81,80,3.91
69,bengkulu,,,,,,,,
70,barrow,AR,-38.31,-60.23,1564120830,38.47,85,88,6.44
71,kazalinsk,,,,,,,,
72,kurilsk,RU,45.23,147.88,1564120830,59.52,89,88,8.23
73,storslett,NO,69.77,21.03,1564120831,64.4,82,40,9.17
74,puerto leguizamo,CO,-0.19,-74.78,1564120831,70.69,98,99,0.6
75,vaini,IN,15.34,74.49,1564120831,75.2,83,75,13.87
76,kahului,US,20.89,-156.47,1564120832,82.4,94,75,8.05
77,gat,SN,14.69,-16.54,1564120832,75.2,83,0,4.7
78,east london,ZA,-33.02,27.91,1564120832,55.4,76,0,6.93
79,lasa,CY,34.92,32.53,1564120833,84.99,69,0,5.82
80,kapaa,US,22.08,-159.32,1564120833,84.2,74,40,16.11
81,mtwara,TZ,-10.28,40.18,1564120834,69.8,83,20,17.22
82,itoman,JP,26.12,127.67,1564120834,91.4,66,40,8.05
83,cidreira,BR,-30.17,-50.22,1564120834,64.57,89,100,18.14
84,ribeira grande,PT,38.52,-28.7,1564120835,70.32,78,0,14.34
85,kodiak,US,39.95,-94.76,1564120835,73.99,73,1,6.93
86,gorontalo,ID,0.54,123.06,1564120836,83.29,63,57,8.41
87,gorele,TR,41.03,39,1564120836,77,61,40,4.7
88,amderma,,,,,,,,
89,portland,US,43.66,-70.25,1564120811,62.6,93,1,2.26
90,nikolskoye,RU,59.7,30.79,1564120837,73.99,73,0,8.95
91,dujuma,,,,,,,,
92,sao filipe,CV,14.9,-24.5,1564120838,74.11,88,91,8.86
93,belushya guba,,,,,,,,
94,tazovskiy,RU,67.47,78.7,1564120839,50.17,66,67,7.25
95,freeport,BS,26.54,-78.7,1564120839,84.19,71,99,9.26
96,nizhneyansk,,,,,,,,
97,hilo,US,19.71,-155.08,1564120840,79,94,90,5.82
98,victoria,BN,5.28,115.24,1564120840,86,78,75,5.82
99,paamiut,GL,61.99,-49.67,1564120840,40.45,92,100,11.07
100,tasiilaq,GL,65.61,-37.64,1564120841,44.6,87,95,3.36
101,vao,EE,59.1,26.19,1564120841,69.07,76,14,7.47
102,ust-nera,RU,64.57,143.24,1564120842,72.85,29,29,20
103,barabai,ID,-2.59,115.38,1564120842,92.65,40,59,2.59
104,lavrentiya,RU,65.58,-170.99,1564120843,42.79,82,100,4.72
105,tombouctou,ML,16.77,-3.01,1564120682,91.21,44,50,9.66
106,aksu,KZ,52.04,76.93,1564120843,66.2,82,90,2.24
107,dauriya,RU,49.93,116.85,1564120843,78.97,31,100,6.73
108,sorvag,,,,,,,,
109,berlevag,NO,70.86,29.09,1564120844,57.2,93,40,9.17
110,santa maria do suacui,BR,-18.19,-42.41,1564120844,55.92,97,14,2.17
111,clyde river,CA,70.47,-68.59,1564120845,37.4,93,90,9.17
112,sawtell,AU,-30.38,153.1,1564120845,71.6,68,100,17.22
113,kamenskoye,,,,,,,,
114,ambilobe,MG,-13.19,49.05,1564120846,76.62,51,14,3.49
115,tshikapa,CD,-6.42,20.79,1564120846,67.09,20,94,2.86
116,rungata,,,,,,,,
117,nabire,ID,-3.36,135.5,1564120846,76.81,91,100,1.21
118,saint george,GR,39.45,22.34,1564120847,78.01,56,40,4.7
119,sakakah,,,,,,,,
120,touros,BR,-5.2,-35.46,1564120847,77.17,83,11,19.06
121,tromso,NO,69.65,18.96,1564120848,69.8,82,40,21.92
